,vol_req,seed,dU11,dU12,dU21,dU22
37,0.1,10.0,0.0902,-0.0364,-0.0364,-0.0019
38,0.1,10.0,0.0855,-0.1241,-0.1241,0.214
39,0.1,10.0,0.2736,0.2974,0.2974,0.2767
40,0.1,10.0,0.5346,-0.0166,-0.0166,0.5583
41,0.1,10.0,0.1147,-0.0199,-0.0199,0.1042
42,0.1,10.0,-0.0915,-0.0149,-0.0149,0.4411
43,0.1,10.0,-0.2141,0.145,0.145,0.4397
44,0.1,10.0,0.338,0.023,0.023,0.3574
45,0.1,10.0,-0.1543,-0.0379,-0.0379,-0.1486
46,0.1,10.0,0.6887,-0.0686,-0.0686,0.2037
47,0.1,10.0,0.5772,0.1753,0.1753,0.0657
48,0.1,10.0,0.7101,-0.0242,-0.0242,0.6903
49,0.1,10.0,0.2014,0.076,0.076,0.073
50,0.1,10.0,0.314,-0.1437,-0.1437,-0.2036
51,0.1,10.0,0.3176,0.0393,0.0393,-0.0831
52,0.1,10.0,0.4664,-0.0096,-0.0096,0.4696
53,0.1,10.0,-0.1846,0.0457,0.0457,-0.1301
54,0.1,10.0,0.1715,-0.1656,-0.1656,0.5392
55,0.1,10.0,0.1762,0.0668,0.0668,0.5329
56,0.1,10.0,0.5938,0.1009,0.1009,0.2853
57,0.1,10.0,-0.0581,0.0071,0.0071,0.0608
58,0.1,10.0,0.1794,-0.3264,-0.3264,0.3936
59,0.1,10.0,0.1137,0.1119,0.1119,0.334
60,0.1,10.0,0.4791,-0.0812,-0.0812,0.3076
61,0.1,10.0,-0.1524,-0.0593,-0.0593,0.1881
62,0.1,10.0,0.2882,-0.1128,-0.1128,0.2571
63,0.1,10.0,0.5112,0.3806,0.3806,0.0333
64,0.1,10.0,0.4927,0.2227,0.2227,0.5221
65,0.1,10.0,0.1121,0.0887,0.0887,0.0286
66,0.1,10.0,0.5785,-0.2442,-0.2442,-0.0845
67,0.1,10.0,0.2697,0.0225,0.0225,0.1004
68,0.1,10.0,0.4419,-0.0753,-0.0753,0.487
69,0.1,10.0,0.1705,-0.1166,-0.1166,0.0099
70,0.1,10.0,0.0625,-0.0737,-0.0737,0.4031
71,0.1,10.0,-0.1416,0.0358,0.0358,0.6079
72,0.1,10.0,0.5485,-0.0477,-0.0477,0.6716
73,0.1,10.0,0.0024,0.0109,0.0109,0.093
74,0.1,10.0,0.0994,-0.2051,-0.2051,0.1152
75,0.1,10.0,0.0393,0.2633,0.2633,0.3017
76,0.1,10.0,0.4443,-0.0304,-0.0304,0.3278
77,0.1,10.0,-0.2426,-0.0001,-0.0001,-0.2346
78,0.1,10.0,0.4478,-0.1612,-0.1612,0.3761
79,0.1,10.0,0.5833,0.2117,0.2117,0.2415
80,0.1,10.0,0.5982,0.0052,0.0052,0.6324
81,0.1,10.0,0.1904,0.0128,0.0128,0.1639
82,0.1,10.0,0.3191,-0.2821,-0.2821,-0.0469
83,0.1,10.0,0.1032,0.2878,0.2878,0.0436
84,0.1,10.0,0.4831,0.0085,0.0085,0.3572
85,0.1,10.0,-0.0814,0.0007,0.0007,-0.0791
86,0.1,10.0,0.1886,-0.2405,-0.2405,0.6253
87,0.1,10.0,0.205,0.2259,0.2259,0.358
88,0.1,10.0,0.5173,0.0838,0.0838,0.4261
89,0.1,10.0,-0.1079,0.0946,0.0946,-0.0748
90,0.1,10.0,0.0173,-0.0916,-0.0916,0.4838
91,0.1,10.0,0.2171,0.0802,0.0802,0.4079
92,0.1,10.0,0.5794,-0.134,-0.134,0.3458
93,0.1,10.0,-0.0775,-0.1077,-0.1077,0.0021
94,0.1,10.0,0.2648,-0.0089,-0.0089,0.15
95,0.1,10.0,0.6622,0.1873,0.1873,0.0011
96,0.1,10.0,0.6855,0.0112,0.0112,0.684
97,0.1,10.0,0.1169,0.0106,0.0106,0.1269
98,0.1,10.0,-0.0944,-0.1291,-0.1291,0.2562
99,0.1,10.0,-0.0097,0.0405,0.0405,0.295
100,0.1,10.0,0.4314,-0.0073,-0.0073,0.427
101,0.1,10.0,-0.0399,0.0457,0.0457,-0.1029
102,0.1,10.0,0.5394,-0.1075,-0.1075,0.0427
103,0.1,10.0,0.5818,0.0159,0.0159,0.2493
104,0.1,10.0,0.3494,0.053,0.053,0.4861
105,0.1,10.0,0.0641,0.0204,0.0204,-0.1046
106,0.1,10.0,0.3362,-0.3846,-0.3846,0.3067
107,0.1,10.0,0.366,0.2156,0.2156,0.1511
108,0.1,10.0,0.3609,-0.0566,-0.0566,0.5778
109,0.1,10.0,0.1528,-0.0039,-0.0039,-0.2157
110,0.1,10.0,0.311,-0.1247,-0.1247,0.3664
111,0.1,10.0,-0.0599,0.3387,0.3387,0.487
112,0.1,10.0,0.6649,0.0267,0.0267,0.4888
113,0.1,10.0,-0.1407,0.1501,0.1501,0.1704
114,0.1,10.0,-0.0361,-0.3512,-0.3512,0.4195
115,0.1,10.0,0.2463,0.0807,0.0807,0.263
116,0.1,10.0,0.7471,-0.02,-0.02,0.4505
117,0.1,10.0,-0.101,-0.0456,-0.0456,0.049
118,0.1,10.0,0.33,-0.0974,-0.0974,0.1531
119,0.1,10.0,0.3402,0.2893,0.2893,0.1442
120,0.1,10.0,0.5375,0.0335,0.0335,0.5739
121,0.1,10.0,0.104,-0.0861,-0.0861,0.1341
122,0.1,10.0,0.3782,-0.0783,-0.0783,-0.0211
123,0.1,10.0,0.3347,0.1835,0.1835,-0.1019
124,0.1,10.0,0.2605,-0.0081,-0.0081,0.2746
125,0.1,10.0,-0.0814,-0.0688,-0.0688,-0.1323
126,0.1,10.0,0.1866,-0.036,-0.036,0.6502
127,0.1,10.0,0.1341,0.1614,0.1614,0.7037
128,0.1,10.0,0.696,0.1101,0.1101,0.4877
129,0.1,10.0,-0.1029,0.2018,0.2018,0.0376
130,0.1,10.0,-0.1816,-0.0511,-0.0511,0.5615
131,0.1,10.0,0.1381,0.0328,0.0328,0.2426
132,0.1,10.0,0.6325,-0.1233,-0.1233,0.4712
133,0.1,10.0,-0.0126,-0.0228,-0.0228,-0.0072
134,0.1,10.0,0.3175,-0.0449,-0.0449,0.0438
135,0.1,10.0,0.4966,0.2493,0.2493,-0.01
136,0.1,10.0,0.5318,0.0017,0.0017,0.5524
137,0.1,10.0,0.1224,-0.0269,-0.0269,0.2126
138,0.1,10.0,0.3208,-0.1921,-0.1921,-0.0252
139,0.1,10.0,0.255,0.2843,0.2843,0.0421
140,0.1,10.0,0.3296,0.0067,0.0067,0.2967
141,0.1,10.0,-0.0412,-0.0697,-0.0697,-0.2062
142,0.1,10.0,0.342,-0.1936,-0.1936,0.5569
143,0.1,10.0,0.3339,0.2733,0.2733,0.4411
144,0.1,10.0,0.6528,0.0049,0.0049,0.6298
145,0.1,10.0,0.0652,0.0056,0.0056,0.2157
146,0.1,10.0,-0.0431,-0.2243,-0.2243,0.0839
147,0.1,10.0,0.0294,0.1689,0.1689,0.2609
148,0.1,10.0,0.3978,0.0309,0.0309,0.4847
149,0.1,10.0,-0.07,0.0136,0.0136,-0.1736
150,0.1,10.0,0.3009,-0.2243,-0.2243,0.2757
151,0.1,10.0,0.4115,0.138,0.138,0.2891
152,0.1,10.0,0.4395,0.115,0.115,0.4853
153,0.1,10.0,-0.0036,0.0436,0.0436,-0.0726
154,0.1,10.0,0.6785,-0.1701,-0.1701,0.0208
155,0.1,10.0,0.4167,0.001,0.001,0.0317
156,0.1,10.0,0.4507,-0.1528,-0.1528,0.4617
157,0.1,10.0,0.0844,-0.1373,-0.1373,-0.0475
158,0.1,10.0,0.1726,-0.1031,-0.1031,0.45
159,0.1,10.0,-0.1927,0.1025,0.1025,0.6891
160,0.1,10.0,0.6011,0.0496,0.0496,0.695
161,0.1,10.0,0.15,0.006,0.006,0.1458
162,0.1,10.0,0.4521,-0.0412,-0.0412,-0.1468
163,0.1,10.0,0.2479,0.1387,0.1387,-0.1939
164,0.1,10.0,0.412,0.0373,0.0373,0.3632
165,0.1,10.0,-0.0557,0.045,0.045,-0.0449
166,0.1,10.0,0.0196,-0.1117,-0.1117,0.7001
167,0.1,10.0,0.1065,0.1874,0.1874,0.4874
168,0.1,10.0,0.5164,0.0075,0.0075,0.4256
169,0.1,10.0,-0.1229,0.0557,0.0557,0.0638
170,0.1,10.0,0.021,-0.2355,-0.2355,0.4453
171,0.1,10.0,0.3151,0.1135,0.1135,0.4001
172,0.1,10.0,0.6734,-0.0606,-0.0606,0.3775
173,0.1,10.0,-0.1596,-0.1029,-0.1029,0.084
174,0.1,10.0,0.282,-0.0481,-0.0481,0.2286
175,0.1,10.0,0.3792,0.3145,0.3145,0.2558
176,0.1,10.0,0.2826,0.0809,0.0809,0.665
177,0.1,10.0,0.2434,0.0108,0.0108,-0.0447
178,0.1,10.0,0.3181,-0.4277,-0.4277,0.0759
179,0.1,10.0,0.2641,0.0971,0.0971,0.131
180,0.1,10.0,0.4733,-0.018,-0.018,0.524
181,0.1,10.0,0.2128,-0.0397,-0.0397,-0.09
182,0.1,10.0,0.2432,-0.1523,-0.1523,0.2603
183,0.1,10.0,0.0494,0.3172,0.3172,0.3307
184,0.1,10.0,0.6635,-0.0598,-0.0598,0.6873
185,0.1,10.0,0.0504,0.0008,0.0008,0.0516
186,0.1,10.0,-0.0255,-0.0942,-0.0942,0.3388
187,0.1,10.0,-0.075,0.0012,0.0012,0.3887
188,0.1,10.0,0.3865,-0.1146,-0.1146,0.3783
189,0.1,10.0,-0.1754,0.0091,0.0091,-0.1841
190,0.1,10.0,0.5766,-0.136,-0.136,0.2104
191,0.1,10.0,0.7205,0.0614,0.0614,0.1924
192,0.1,10.0,0.7109,0.0058,0.0058,0.7243
193,0.1,10.0,0.1592,0.0249,0.0249,0.0249
194,0.1,10.0,0.1249,-0.2437,-0.2437,0.0493
195,0.1,10.0,0.181,0.1666,0.1666,-0.0078
196,0.1,10.0,0.3812,-0.0211,-0.0211,0.4588
197,0.1,10.0,-0.2234,0.014,0.014,-0.0632
198,0.1,10.0,0.2267,-0.2471,-0.2471,0.4206
199,0.1,10.0,0.2346,0.1799,0.1799,0.5371
200,0.1,10.0,0.4389,0.118,0.118,0.407
201,0.1,10.0,0.0181,0.0488,0.0488,0.0774
202,0.1,10.0,-0.0068,-0.2649,-0.2649,0.5767
203,0.1,10.0,0.1243,0.0542,0.0542,0.4443
204,0.1,10.0,0.4741,-0.1111,-0.1111,0.4066
205,0.1,10.0,-0.1644,-0.1729,-0.1729,0.1693
206,0.1,10.0,0.416,-0.0517,-0.0517,0.2568
207,0.1,10.0,0.6767,0.0418,0.0418,-0.1297
208,0.1,10.0,0.4578,0.1035,0.1035,0.5659
209,0.1,10.0,0.0163,0.1786,0.1786,0.0087
210,0.1,10.0,0.5119,-0.0776,-0.0776,-0.1859
211,0.1,10.0,0.35,0.05,0.05,0.2263
212,0.1,10.0,0.5077,-0.0701,-0.0701,0.6164
213,0.1,10.0,0.0209,-0.0866,-0.0866,-0.0209
214,0.1,10.0,0.0938,-0.0035,-0.0035,0.2754
215,0.1,10.0,-0.0061,0.1264,0.1264,0.501
216,0.1,10.0,0.5782,-0.0054,-0.0054,0.6145
217,0.1,10.0,0.1645,-0.0466,-0.0466,0.0293
218,0.1,10.0,0.1397,-0.2305,-0.2305,0.3393
219,0.1,10.0,0.0854,0.3097,0.3097,0.1446
220,0.1,10.0,0.368,-0.0026,-0.0026,0.2894
221,0.1,10.0,-0.1445,-0.017,-0.017,-0.0724
222,0.1,10.0,0.6209,-0.2412,-0.2412,0.2655
223,0.1,10.0,0.465,0.3141,0.3141,0.2979
224,0.1,10.0,0.645,0.122,0.122,0.3651
225,0.1,10.0,-0.1099,0.0426,0.0426,0.1205
226,0.1,10.0,0.2172,-0.4084,-0.4084,0.344
227,0.1,10.0,0.0831,0.1294,0.1294,0.2297
228,0.1,10.0,0.5607,-0.0382,-0.0382,0.4202
229,0.1,10.0,-0.0259,-0.0139,-0.0139,0.1328
230,0.1,10.0,0.3139,-0.1933,-0.1933,0.1622
231,0.1,10.0,0.4445,0.3193,0.3193,-0.0923
232,0.1,10.0,0.5977,-0.072,-0.072,0.5782
233,0.1,10.0,0.083,-0.0089,-0.0089,0.0938
234,0.1,10.0,0.2386,-0.1205,-0.1205,-0.0268
235,0.1,10.0,0.4753,0.0826,0.0826,-0.0124
236,0.1,10.0,0.3751,-0.0308,-0.0308,0.3938
237,0.1,10.0,-0.1548,-0.0235,-0.0235,-0.2001
238,0.1,10.0,0.2339,-0.0911,-0.0911,0.5149
239,0.1,10.0,0.2313,0.0213,0.0213,0.6431
240,0.1,10.0,0.6214,0.069,0.069,0.5494
241,0.1,10.0,0.2096,0.016,0.016,0.2103
242,0.1,10.0,-0.2151,-0.0657,-0.0657,0.3753
243,0.1,10.0,-0.123,0.1636,0.1636,0.2822
244,0.1,10.0,0.2935,0.0706,0.0706,0.403
245,0.1,10.0,-0.0976,-0.0342,-0.0342,-0.0811
246,0.1,10.0,0.6339,-0.0099,-0.0099,0.1206
247,0.1,10.0,0.5322,0.1087,0.1087,0.0959
248,0.1,10.0,0.4767,0.0188,0.0188,0.6027
249,0.1,10.0,0.0199,0.073,0.073,-0.192
250,0.1,10.0,0.4045,-0.296,-0.296,0.1483
251,0.1,10.0,0.287,0.1149,0.1149,0.265
252,0.1,10.0,0.2632,-0.0154,-0.0154,0.7296
253,0.1,10.0,0.0317,-0.0462,-0.0462,-0.1649
254,0.1,10.0,0.2152,-0.0708,-0.0708,0.3195
255,0.1,10.0,0.2231,0.3989,0.3989,0.4354
256,0.1,10.0,0.3641,0.066,0.066,0.7285
257,0.1,10.0,0.1448,0.0865,0.0865,-0.0517
258,0.1,10.0,0.5022,-0.3897,-0.3897,0.0517
259,0.1,10.0,0.1695,0.1106,0.1106,0.136
260,0.1,10.0,0.395,-0.0184,-0.0184,0.598
261,0.1,10.0,0.151,-0.0491,-0.0491,-0.0318
262,0.1,10.0,0.1195,-0.1675,-0.1675,0.3961
263,0.1,10.0,0.0455,0.3788,0.3788,0.3463
264,0.1,10.0,0.5748,-0.0338,-0.0338,0.6163
265,0.1,10.0,0.0931,0.0224,0.0224,0.0988
266,0.1,10.0,-0.1128,-0.0603,-0.0603,0.25
267,0.1,10.0,0.0135,0.1663,0.1663,0.3747
268,0.1,10.0,0.3737,-0.0135,-0.0135,0.3478
269,0.1,10.0,-0.2069,-0.0184,-0.0184,-0.1954
270,0.1,10.0,0.5039,-0.0152,-0.0152,0.2249
271,0.1,10.0,0.6244,0.126,0.126,0.2299
272,0.1,10.0,0.5908,0.0507,0.0507,0.5921
273,0.1,10.0,0.2109,-0.0098,-0.0098,0.2213
274,0.1,10.0,0.3451,-0.1977,-0.1977,-0.1375
275,0.1,10.0,0.3485,0.0531,0.0531,-0.1419
276,0.1,10.0,0.4141,0.0983,0.0983,0.3649
277,0.1,10.0,-0.034,-0.0184,-0.0184,-0.0623
278,0.1,10.0,0.1059,-0.1291,-0.1291,0.6335
279,0.1,10.0,0.0998,0.0091,0.0091,0.5132
280,0.1,10.0,0.5785,0.0408,0.0408,0.4613
281,0.1,10.0,-0.2348,0.0376,0.0376,0.023
282,0.1,10.0,0.2468,-0.2981,-0.2981,0.3014
283,0.1,10.0,0.2176,0.1267,0.1267,0.33
284,0.1,10.0,0.6751,-0.0812,-0.0812,0.325
285,0.1,10.0,-0.1306,-0.0049,-0.0049,0.0047
286,0.1,10.0,0.2473,-0.0927,-0.0927,0.1972
287,0.1,10.0,0.5213,0.3279,0.3279,0.0469
288,0.1,10.0,0.7057,-0.007,-0.007,0.7446
289,0.1,10.0,0.068,0.0278,0.0278,0.1311
290,0.1,10.0,-0.0172,-0.2239,-0.2239,0.2417
291,0.1,10.0,0.0849,0.1775,0.1775,0.1386
292,0.1,10.0,0.4891,-0.0055,-0.0055,0.4286
293,0.1,10.0,-0.021,0.0448,0.0448,-0.1879
294,0.1,10.0,0.5052,-0.2319,-0.2319,0.1221
295,0.1,10.0,0.4495,0.1855,0.1855,0.3022
296,0.1,10.0,0.3353,0.1084,0.1084,0.4681
297,0.1,10.0,0.0347,0.0647,0.0647,0.0183
298,0.1,10.0,0.6309,-0.1163,-0.1163,-0.0683
299,0.1,10.0,0.4238,0.1318,0.1318,0.1375
300,0.1,10.0,0.3933,-0.0555,-0.0555,0.4996
301,0.1,10.0,0.0685,-0.1918,-0.1918,-0.0515
302,0.1,10.0,0.1898,-0.0113,-0.0113,0.3975
303,0.1,10.0,-0.1028,0.2131,0.2131,0.5644
304,0.1,10.0,0.5561,0.1224,0.1224,0.553
305,0.1,10.0,-0.0307,0.1631,0.1631,0.1411
306,0.1,10.0,-0.1461,-0.2514,-0.2514,0.4677
307,0.1,10.0,0.2467,0.0085,0.0085,0.3253
308,0.1,10.0,0.5925,-0.1072,-0.1072,0.5389
309,0.1,10.0,-0.0639,-0.0878,-0.0878,0.0712
310,0.1,10.0,0.2908,-0.0435,-0.0435,0.113
311,0.1,10.0,0.5398,0.0121,0.0121,-0.0102
312,0.1,10.0,0.5889,0.0094,0.0094,0.616
313,0.1,10.0,0.0581,-0.0131,-0.0131,0.1479
314,0.1,10.0,0.2244,-0.2596,-0.2596,0.1769
315,0.1,10.0,0.1984,0.2758,0.2758,-0.046
316,0.1,10.0,0.2826,-0.0115,-0.0115,0.3323
317,0.1,10.0,-0.1019,-0.002,-0.002,-0.1575
318,0.1,10.0,0.3641,-0.2645,-0.2645,0.5071
319,0.1,10.0,0.1683,0.2841,0.2841,0.5794
320,0.1,10.0,0.6947,0.0494,0.0494,0.6595
321,0.1,10.0,0.1835,-0.0069,-0.0069,0.1704
322,0.1,10.0,-0.1215,-0.1765,-0.1765,0.4497
323,0.1,10.0,-0.1866,0.0322,0.0322,0.2635
324,0.1,10.0,0.3722,0.013,0.013,0.3751
325,0.1,10.0,-0.0566,0.0115,0.0115,-0.0718
326,0.1,10.0,0.6359,-0.2408,-0.2408,0.1536
327,0.1,10.0,0.6027,0.0872,0.0872,0.061
328,0.1,10.0,0.4129,0.0344,0.0344,0.5296
329,0.1,10.0,0.0992,0.0222,0.0222,-0.1578
330,0.1,10.0,0.3267,-0.2925,-0.2925,0.1049
331,0.1,10.0,0.4233,0.0939,0.0939,0.2572
332,0.1,10.0,0.353,-0.1074,-0.1074,0.6047
333,0.1,10.0,0.0688,-0.0615,-0.0615,-0.2376
334,0.1,10.0,0.2553,-0.0115,-0.0115,0.2597
335,0.1,10.0,0.1404,0.3165,0.3165,0.4989
336,0.1,10.0,0.6394,0.0134,0.0134,0.3117
337,0.1,10.0,0.0076,0.0389,0.0389,0.1945
338,0.1,10.0,-0.0036,-0.3674,-0.3674,0.4908
339,0.1,10.0,0.2112,0.1148,0.1148,0.2772
340,0.1,10.0,0.5462,-0.0087,-0.0087,0.4779
341,0.1,10.0,-0.0555,-0.0939,-0.0939,0.2052
342,0.1,10.0,0.3219,-0.1552,-0.1552,0.1811
343,0.1,10.0,0.2069,0.3287,0.3287,0.1727
344,0.1,10.0,0.6865,-0.0585,-0.0585,0.5946
345,0.1,10.0,0.0136,-0.0122,-0.0122,0.0187
346,0.1,10.0,0.3402,-0.0019,-0.0019,-0.0069
347,0.1,10.0,0.4016,0.1193,0.1193,-0.0679
348,0.1,10.0,0.3338,-0.0766,-0.0766,0.408
349,0.1,10.0,-0.1923,0.0396,0.0396,-0.1901
350,0.1,10.0,0.1614,-0.0469,-0.0469,0.5754
351,0.1,10.0,0.2022,0.1728,0.1728,0.6604
352,0.1,10.0,0.5548,0.1043,0.1043,0.6294
353,0.1,10.0,0.086,0.126,0.126,-0.1508
354,0.1,10.0,0.5507,-0.195,-0.195,-0.0804
355,0.1,10.0,0.3007,0.0093,0.0093,0.1703
356,0.1,10.0,0.5508,-0.152,-0.152,0.5847
357,0.1,10.0,0.0217,-0.0238,-0.0238,-0.0097
358,0.1,10.0,0.0672,-0.1154,-0.1154,0.2984
359,0.1,10.0,-0.0745,0.103,0.103,0.5655
360,0.1,10.0,0.504,-0.0027,-0.0027,0.5133
361,0.1,10.0,0.2014,-0.0116,-0.0116,0.0667
362,0.1,10.0,0.0779,-0.2146,-0.2146,0.2406
363,0.1,10.0,-0.0604,0.2491,0.2491,0.3805
364,0.1,10.0,0.2622,0.0316,0.0316,0.3363
365,0.1,10.0,-0.2091,-0.0287,-0.0287,-0.0662
366,0.1,10.0,0.4604,-0.2004,-0.2004,0.3834
367,0.1,10.0,0.5057,0.2574,0.2574,0.2141
368,0.1,10.0,0.6698,-0.0001,-0.0001,0.668
369,0.1,10.0,0.2253,0.0239,0.0239,0.1108
370,0.1,10.0,0.1779,-0.2191,-0.2191,-0.117
371,0.1,10.0,0.2032,0.167,0.167,0.1072
372,0.1,10.0,0.4496,0.005,0.005,0.41
373,0.1,10.0,-0.15,0.012,0.012,-0.1166
374,0.1,10.0,0.2394,-0.1901,-0.1901,0.412
375,0.1,10.0,0.379,0.1666,0.1666,0.3963
376,0.1,10.0,0.5484,0.1074,0.1074,0.3797
377,0.1,10.0,-0.0516,0.0734,0.0734,-0.0211
378,0.1,10.0,-0.0348,-0.004,-0.004,0.7023
379,0.1,10.0,0.0352,0.088,0.088,0.3815
380,0.1,10.0,0.4757,-0.1413,-0.1413,0.3386
381,0.1,10.0,-0.035,-0.1564,-0.1564,-0.0262
382,0.1,10.0,0.4361,-0.0283,-0.0283,0.1862
383,0.1,10.0,0.645,0.2995,0.2995,-0.1491
384,0.1,10.0,0.6827,0.0418,0.0418,0.7215
385,0.1,10.0,0.1426,0.0464,0.0464,0.1359
386,0.1,10.0,0.273,-0.0605,-0.0605,-0.1742
387,0.1,10.0,0.2276,0.0843,0.0843,-0.0053
388,0.1,10.0,0.3979,0.0031,0.0031,0.3936
389,0.1,10.0,-0.1236,0.0643,0.0643,-0.0861
390,0.1,10.0,0.0346,-0.022,-0.022,0.5157
391,0.1,10.0,0.2204,0.0794,0.0794,0.5789
392,0.1,10.0,0.547,0.0215,0.0215,0.3749
393,0.1,10.0,-0.0475,0.0543,0.0543,0.0935
394,0.1,10.0,0.1261,-0.3876,-0.3876,0.5056
395,0.1,10.0,0.2444,0.194,0.194,0.2615
396,0.1,10.0,0.6131,-0.0018,-0.0018,0.3338
397,0.1,10.0,-0.2056,-0.094,-0.094,0.1511
398,0.1,10.0,0.4412,-0.0986,-0.0986,0.2796
399,0.1,10.0,0.3275,0.4256,0.4256,0.1431
400,0.1,10.0,0.4928,0.0635,0.0635,0.6253
401,0.1,10.0,0.2031,0.0644,0.0644,-0.209
402,0.1,10.0,0.2315,-0.4028,-0.4028,0.1436
403,0.1,10.0,0.3014,0.0797,0.0797,0.1996
404,0.1,10.0,0.5126,-0.0538,-0.0538,0.6883
405,0.1,10.0,0.0165,-0.0052,-0.0052,-0.0651
406,0.1,10.0,0.1574,-0.1232,-0.1232,0.2393
407,0.1,10.0,-0.0091,0.2259,0.2259,0.4071
408,0.1,10.0,0.5739,0.0127,0.0127,0.5692
409,0.1,10.0,0.1882,-0.0991,-0.0991,0.0816
410,0.1,10.0,0.0339,-0.1439,-0.1439,0.3823
411,0.1,10.0,-0.1085,0.101,0.101,0.4003
412,0.1,10.0,0.2993,-0.0006,-0.0006,0.2988
413,0.1,10.0,-0.1173,-0.0476,-0.0476,-0.0335
414,0.1,10.0,0.6382,-0.1348,-0.1348,0.1717
415,0.1,10.0,0.6946,0.0437,0.0437,0.1163
416,0.1,10.0,0.5829,0.2045,0.2045,0.3932
417,0.1,10.0,0.0438,0.1,0.1,0.0584
418,0.1,10.0,-0.1407,-0.1033,-0.1033,0.6235
419,0.1,10.0,0.0957,0.0606,0.0606,0.2633
420,0.1,10.0,0.4877,-0.0274,-0.0274,0.4495
421,0.1,10.0,0.0674,-0.0925,-0.0925,0.1213
422,0.1,10.0,0.3766,-0.0169,-0.0169,0.0075
423,0.1,10.0,0.5368,0.1526,0.1526,-0.1521
424,0.1,10.0,0.7297,-0.0256,-0.0256,0.5251
425,0.1,10.0,0.0801,0.0116,0.0116,0.05
426,0.1,10.0,0.2347,-0.1968,-0.1968,0.042
427,0.1,10.0,0.2138,0.28,0.28,0.1892
428,0.1,10.0,0.3608,-0.0007,-0.0007,0.4693
429,0.1,10.0,-0.2161,0.0035,0.0035,-0.2029
430,0.1,10.0,0.2702,-0.1536,-0.1536,0.5219
431,0.1,10.0,0.346,0.2332,0.2332,0.447
432,0.1,10.0,0.671,0.0382,0.0382,0.5913
433,0.1,10.0,0.1398,0.0166,0.0166,0.2462
434,0.1,10.0,0.0654,-0.3457,-0.3457,0.1409
435,0.1,10.0,-0.1091,0.2342,0.2342,0.19
436,0.1,10.0,0.3264,0.0384,0.0384,0.4519
437,0.1,10.0,-0.1,0.0014,0.0014,-0.1225
438,0.1,10.0,0.4873,-0.282,-0.282,0.2997
439,0.1,10.0,0.4483,0.1957,0.1957,0.0878
440,0.1,10.0,0.4994,0.0936,0.0936,0.5334
441,0.1,10.0,-0.0013,0.0844,0.0844,-0.092
442,0.1,10.0,0.4775,-0.1908,-0.1908,0.0153
443,0.1,10.0,0.3786,0.0279,0.0279,0.2382
444,0.1,10.0,0.3983,-0.182,-0.182,0.5303
445,0.1,10.0,0.0504,-0.098,-0.098,-0.1224
446,0.1,10.0,0.1779,-0.0282,-0.0282,0.2755
447,0.1,10.0,-0.0264,0.057,0.057,0.7283
448,0.1,10.0,0.7029,0.0733,0.0733,0.4005
449,0.1,10.0,-0.178,0.0047,0.0047,0.1567
450,0.1,10.0,0.1,-0.3261,-0.3261,0.2479
