,dU11,dU12,dU21,dU22,vol_req,seed
78,0.8504,0.2299,0.2299,0.442,0.1545,15.0
79,-0.1295,-0.0021,-0.0021,-0.1383,0.3256,33.0
80,-0.131,-0.1398,-0.1398,0.2073,0.1982,20.0
81,0.0943,0.5056,0.5056,0.6224,0.4788,48.0
82,0.6611,-0.255,-0.255,0.6929,0.0837,8.0
83,-0.0979,0.0195,0.0195,0.0181,0.3675,37.0
84,0.5407,-0.316,-0.316,0.3804,0.3021,30.0
85,0.4943,0.0251,0.0251,0.1345,0.1218,12.0
86,0.5324,0.0354,0.0354,0.6594,0.4018,40.0
87,-0.4518,-0.0645,-0.0645,-0.3509,0.2462,25.0
88,0.7533,-0.3531,-0.3531,-0.2021,0.138,14.0
89,0.6032,0.3241,0.3241,0.2073,0.3131,31.0
90,0.4796,0.0719,0.0719,0.5056,0.2563,26.0
91,0.1539,0.0435,0.0435,-0.2337,0.4207,42.0
92,0.104,-0.299,-0.299,0.3487,0.4599,46.0
93,-0.4797,0.0038,0.0038,0.2582,0.1881,19.0
94,0.8949,0.0509,0.0509,0.6722,0.3565,36.0
95,0.1229,-0.1622,-0.1622,-0.1822,0.0674,7.0
96,0.5891,-0.0895,-0.0895,-0.2124,0.2361,24.0
97,0.3393,0.6428,0.6428,0.1064,0.4128,41.0
98,0.6071,-0.1861,-0.1861,0.3794,0.132,13.0
99,-0.0787,-0.1059,-0.1059,0.2082,0.291,29.0
100,0.2868,-0.2304,-0.2304,0.7208,0.3645,36.0
101,0.0013,0.1165,0.1165,0.5118,0.0875,9.0
102,0.8033,0.002,0.002,0.3695,0.4817,48.0
103,-0.3037,-0.0222,-0.0222,-0.3219,0.1944,19.0
104,-0.4222,-0.1896,-0.1896,0.7054,0.0774,8.0
105,0.3434,0.2775,0.2775,0.3776,0.3456,35.0
106,0.5024,0.0173,0.0173,0.4844,0.1782,18.0
107,-0.3131,0.1552,0.1552,0.0619,0.4707,47.0
108,0.2582,-0.1017,-0.1017,0.0994,0.4238,42.0
109,0.3578,0.1352,0.1352,-0.1268,0.2524,25.0
110,0.9819,-0.0024,-0.0024,0.9472,0.3099,31.0
111,-0.1438,-0.0717,-0.0717,-0.1075,0.1421,14.0
112,0.4309,-0.5421,-0.5421,0.3213,0.4947,49.0
113,0.9615,0.1538,0.1538,-0.0858,0.2105,21.0
114,0.3024,0.0213,0.0213,0.3579,0.3796,38.0
115,-0.0404,0.077,0.077,-0.1279,0.0997,10.0
116,0.0981,-0.088,-0.088,0.4666,0.12,12.0
117,-0.2179,0.3129,0.3129,0.3388,0.2758,28.0
118,0.7216,-0.0555,-0.0555,0.7569,0.22,22.0
119,0.1378,-0.0223,-0.0223,-0.4274,0.3998,40.0
120,-0.0197,-0.4037,-0.4037,0.0168,0.3219,32.0
121,-0.2205,0.1741,0.1741,0.7209,0.1573,16.0
122,0.6404,-0.1064,-0.1064,0.8586,0.4398,44.0
123,0.1134,0.0838,0.0838,0.1866,0.2653,27.0
124,0.5717,-0.1925,-0.1925,-0.007,0.1652,17.0
125,0.3015,0.0746,0.0746,0.2,0.4547,45.0
126,0.6638,0.1233,0.1233,0.7208,0.0623,6.0
127,-0.2866,0.0155,0.0155,-0.4662,0.3335,33.0
128,0.8867,-0.2969,-0.2969,-0.2075,0.1037,10.0
129,0.655,0.3418,0.3418,0.0949,0.3755,38.0
130,0.3276,0.0042,0.0042,0.3299,0.2082,21.0
131,-0.0573,0.0056,0.0056,-0.1431,0.497,50.0
132,0.3447,-0.1059,-0.1059,0.3576,0.3975,40.0
133,-0.3598,0.1626,0.1626,0.5655,0.2223,22.0
134,0.744,-0.0046,-0.0046,0.7547,0.2799,28.0
135,-0.0359,-0.2194,-0.2194,-0.2626,0.1159,12.0
136,-0.3852,-0.1608,-0.1608,0.3148,0.2623,26.0
137,-0.1458,0.3603,0.3603,0.5141,0.4428,44.0
138,0.5916,-0.168,-0.168,0.7226,0.162,16.0
139,-0.0059,0.0007,0.0007,0.0802,0.3172,32.0
140,0.4181,-0.334,-0.334,0.2904,0.3382,34.0
141,0.3545,0.0128,0.0128,0.2262,0.0576,6.0
142,0.6518,0.1045,0.1045,0.9469,0.4517,45.0
143,-0.224,0.1061,0.1061,-0.3558,0.1682,17.0
144,0.3761,-0.3025,-0.3025,-0.0431,0.2955,30.0
145,0.8365,0.3877,0.3877,-0.382,0.1275,13.0
146,0.6573,-0.019,-0.019,0.4026,0.41,41.0
147,0.0986,-0.0721,-0.0721,0.1337,0.2388,24.0
148,0.138,-0.1329,-0.1329,0.849,0.1917,19.0
149,0.2656,0.2437,0.2437,0.2795,0.4844,48.0
150,0.5823,0.0985,0.0985,0.4994,0.092,9.0
151,-0.2582,-0.0833,-0.0833,-0.4289,0.36,36.0
152,-0.1564,-0.417,-0.417,0.5771,0.4681,47.0
153,0.1486,0.1561,0.1561,0.7744,0.1807,18.0
154,0.539,0.0011,0.0011,0.5149,0.3498,35.0
155,-0.1486,0.2446,0.2446,0.0056,0.0731,7.0
156,0.2593,-0.0537,-0.0537,-0.1153,0.1464,15.0
157,0.0701,0.2421,0.2421,0.0116,0.3056,31.0
158,0.935,-0.0313,-0.0313,0.8976,0.2498,25.0
159,-0.2112,-0.0435,-0.0435,-0.0956,0.4263,43.0
160,-0.0494,-0.2636,-0.2636,0.1172,0.3702,37.0
161,-0.1571,0.0485,0.0485,0.8944,0.0809,8.0
162,0.2936,-0.1655,-0.1655,0.9581,0.4743,47.0
163,-0.0461,-0.0211,-0.0211,-0.0833,0.2027,20.0
164,0.6663,-0.1669,-0.1669,0.2224,0.2417,24.0
165,0.4385,0.2098,0.2098,0.1872,0.4063,41.0
166,0.6077,0.1549,0.1549,0.6454,0.1245,12.0
167,-0.3174,0.0077,0.0077,-0.3711,0.2993,30.0
168,0.3289,-0.6357,-0.6357,0.0201,0.4164,42.0
169,0.6609,0.0503,0.0503,-0.0118,0.2606,26.0
170,0.3978,0.0258,0.0258,0.4788,0.3156,32.0
171,0.0552,0.1694,0.1694,-0.179,0.1355,14.0
172,0.1027,-0.194,-0.194,0.4997,0.0699,7.0
173,-0.1838,0.4011,0.4011,0.1528,0.3539,35.0
174,0.8145,0.1093,0.1093,0.8084,0.1838,18.0
175,0.2211,-0.0714,-0.0714,-0.1601,0.4642,46.0
176,-0.1481,-0.0058,-0.0058,0.644,0.1115,11.0
177,0.4256,0.3672,0.3672,0.7126,0.2833,28.0
178,0.4155,-0.0675,-0.0675,0.5393,0.2266,23.0
179,-0.4437,0.0934,0.0934,-0.0363,0.3942,39.0
180,0.3289,-0.128,-0.128,0.1697,0.4863,49.0
181,0.3931,0.2057,0.2057,-0.1888,0.2179,22.0
182,0.8849,-0.0181,-0.0181,0.7031,0.3863,39.0
183,-0.2491,-0.2419,-0.2419,-0.1563,0.0938,9.0
184,0.5028,-0.0581,-0.0581,-0.3755,0.1718,17.0
185,0.3341,0.5129,0.5129,0.0533,0.449,45.0
186,0.7729,-0.0709,-0.0709,0.6569,0.0539,5.0
187,0.2109,0.016,0.016,0.152,0.341,34.0
188,0.2189,-0.4226,-0.4226,0.655,0.3286,33.0
189,-0.0643,0.1402,0.1402,0.2629,0.1515,15.0
190,0.8292,0.0949,0.0949,0.2904,0.4315,43.0
191,-0.2489,-0.0589,-0.0589,-0.256,0.2727,27.0
192,-0.2832,-0.0877,-0.0877,0.4713,0.4472,45.0
193,0.1406,0.6001,0.6001,0.3479,0.1735,17.0
194,0.3959,-0.1803,-0.1803,0.6355,0.3428,34.0
195,0.0647,-0.0335,-0.0335,-0.0336,0.0521,5.0
196,0.869,-0.2776,-0.2776,0.3287,0.1533,15.0
197,0.5794,0.1304,0.1304,-0.017,0.3268,33.0
198,0.3005,0.0098,0.0098,0.732,0.271,27.0
199,-0.2962,-0.0906,-0.0906,-0.2294,0.4333,43.0
200,0.6917,-0.1737,-0.1737,-0.4036,0.2886,29.0
201,0.4969,0.2302,0.2302,0.4603,0.1063,11.0
202,0.5514,-0.0682,-0.0682,0.4863,0.3889,39.0
203,0.0267,0.1763,0.1763,-0.3706,0.2319,23.0
204,0.057,-0.156,-0.156,0.2973,0.2126,21.0
205,-0.2393,0.1605,0.1605,0.3264,0.4916,49.0
206,0.9693,0.0078,0.0078,0.8135,0.0991,10.0
207,-0.0644,-0.0479,-0.0479,-0.0927,0.381,38.0
208,0.278,-0.5392,-0.5392,0.4278,0.2553,26.0
209,0.0645,0.1056,0.1056,0.8994,0.4217,42.0
210,0.432,0.0077,0.0077,0.4125,0.1408,14.0
211,-0.1763,0.1204,0.1204,-0.0422,0.3103,31.0
212,0.5353,-0.0951,-0.0951,0.1712,0.3592,36.0
213,0.3264,0.3759,0.3759,-0.2951,0.0647,6.0
214,0.6426,0.0113,0.0113,0.6502,0.4589,46.0
215,-0.4986,-0.0209,-0.0209,0.167,0.1891,19.0
216,-0.0185,-0.3127,-0.3127,-0.025,0.0827,8.0
217,0.7391,0.1809,0.1809,-0.1446,0.3685,37.0
218,0.8802,-0.1219,-0.1219,0.6213,0.201,20.0
219,0.0915,0.1253,0.1253,-0.0233,0.476,48.0
220,-0.025,-0.2289,-0.2289,0.7257,0.4045,40.0
221,0.1623,0.0551,0.0551,0.2436,0.2435,24.0
222,0.734,0.1947,0.1947,0.6467,0.3011,30.0
223,-0.35,0.0078,0.0078,-0.2632,0.1228,12.0
224,0.4603,-0.4451,-0.4451,0.0535,0.179,18.0
225,0.7551,0.2638,0.2638,0.1958,0.4699,47.0
226,0.4405,-0.03,-0.03,0.2941,0.0749,7.0
227,-0.2491,0.1444,0.1444,-0.252,0.3481,35.0
228,0.2016,-0.0119,-0.0119,0.3334,0.3074,31.0
229,0.1297,0.3323,0.3323,0.2781,0.1447,14.0
230,0.8296,-0.0723,-0.0723,0.9362,0.4245,42.0
231,-0.0808,-0.0765,-0.0765,-0.3313,0.2516,25.0
232,-0.1943,-0.4682,-0.4682,0.3279,0.1328,13.0
233,-0.3158,0.325,0.325,0.5164,0.2902,29.0
234,0.5226,-0.0193,-0.0193,0.6756,0.2336,23.0
235,0.1767,-0.0398,-0.0398,0.1656,0.4153,42.0
236,0.8521,-0.0247,-0.0247,0.0579,0.4791,48.0
237,0.2704,0.189,0.189,0.1429,0.197,20.0
238,0.4685,0.2175,0.2175,0.8286,0.3652,37.0
239,-0.2144,0.0187,0.0187,-0.286,0.0868,9.0
240,0.3506,-0.1935,-0.1935,-0.085,0.4375,44.0
241,0.6491,0.5556,0.5556,0.1192,0.2676,27.0
242,0.6272,-0.2545,-0.2545,0.5872,0.3225,32.0
243,-0.0023,-0.0036,-0.0036,0.0203,0.1568,16.0
244,0.2816,-0.2894,-0.2894,0.4517,0.0629,6.0
245,0.1983,0.0138,0.0138,0.4712,0.3329,33.0
246,0.6817,0.0361,0.0361,0.5544,0.1629,16.0
247,-0.4723,0.0296,0.0296,-0.4267,0.457,46.0
248,-0.2747,-0.3728,-0.3728,0.822,0.3773,38.0
249,0.0972,0.3562,0.3562,0.5714,0.102,10.0
250,0.4489,0.1674,0.1674,0.3909,0.4952,50.0
251,-0.2105,0.0502,0.0502,0.2227,0.2099,21.0
252,0.3336,-0.2829,-0.2829,0.1247,0.2206,22.0
253,0.3274,0.0143,0.0143,-0.3149,0.3993,40.0
254,0.7845,0.0105,0.0105,0.8327,0.1177,12.0
255,-0.2145,-0.1433,-0.1433,0.0649,0.2781,28.0
256,-0.131,-0.3582,-0.3582,0.6377,0.2507,25.0
257,0.3325,0.3236,0.3236,0.6224,0.4254,43.0
258,0.4276,-0.0975,-0.0975,0.4288,0.1437,14.0
259,-0.3075,0.0447,0.0447,-0.084,0.3084,31.0
260,0.2458,-0.0117,-0.0117,0.2407,0.3471,35.0
261,0.5808,0.0694,0.0694,-0.2095,0.0759,8.0
262,0.9279,-0.0451,-0.0451,0.7777,0.4692,47.0
263,-0.3307,-0.1214,-0.1214,-0.153,0.1797,18.0
264,0.4426,-0.2994,-0.2994,-0.3106,0.086,9.0
265,0.3943,0.513,0.513,-0.1834,0.366,37.0
266,0.5836,-0.099,-0.099,0.5544,0.1959,20.0
267,0.0701,-0.0169,-0.0169,0.2005,0.4802,48.0
268,0.2881,-0.4107,-0.4107,0.568,0.4144,41.0
269,0.0161,0.0118,0.0118,0.3545,0.2345,23.0
270,0.9636,0.1342,0.1342,0.4554,0.2895,29.0
271,-0.221,0.0305,0.0305,-0.1698,0.1335,13.0
272,-0.0512,-0.2585,-0.2585,0.2011,0.4562,46.0
273,-0.1362,0.4094,0.4094,0.7772,0.1636,16.0
274,0.4141,-0.0689,-0.0689,0.8368,0.332,33.0
275,0.031,0.0268,0.0268,0.0355,0.0637,6.0
276,0.6817,-0.029,-0.029,0.1295,0.1557,16.0
277,0.4126,0.1489,0.1489,0.3224,0.3236,32.0
278,0.6103,0.0074,0.0074,0.6217,0.2668,27.0
279,-0.4636,-0.0102,-0.0102,-0.4284,0.4383,44.0
280,0.6766,-0.5535,-0.5535,-0.0514,0.2774,28.0
281,0.7186,0.2353,0.2353,0.0158,0.1183,12.0
282,0.3379,0.0235,0.0235,0.5447,0.3983,40.0
283,0.0597,0.1624,0.1624,0.0064,0.2215,22.0
284,-0.103,-0.0105,-0.0105,0.4455,0.2089,21.0
285,-0.1746,0.3221,0.3221,0.0597,0.4962,50.0
286,0.8445,0.0428,0.0428,0.7624,0.1011,10.0
287,0.074,-0.064,-0.064,-0.2222,0.3782,38.0
288,0.1771,-0.3755,-0.3755,0.0532,0.4342,43.0
289,0.8775,0.1371,0.1371,-0.3346,0.27,27.0
290,0.7492,-0.1459,-0.1459,0.3127,0.3275,33.0
291,-0.0362,-0.0932,-0.0932,0.0866,0.1526,15.0
292,0.1999,-0.1496,-0.1496,0.8939,0.0529,5.0
293,-0.0011,0.2458,0.2458,0.4711,0.3419,34.0
294,0.6121,0.2283,0.2283,0.4455,0.1745,17.0
295,-0.181,-0.0028,-0.0028,-0.3315,0.4462,45.0
296,0.0216,-0.563,-0.563,0.1157,0.3819,38.0
297,0.1748,0.0765,0.0765,0.6431,0.0982,10.0
298,0.5127,-0.0167,-0.0167,0.55,0.4924,49.0
299,-0.3013,0.279,0.279,-0.0296,0.2119,21.0
300,0.3864,-0.0952,-0.0952,0.0571,0.2326,23.0
301,0.3011,0.2667,0.2667,-0.1126,0.3881,39.0
302,0.9041,0.0085,0.0085,0.9092,0.1073,11.0
303,-0.1937,-0.0132,-0.0132,0.0559,0.2876,29.0
304,0.8033,-0.1178,-0.1178,-0.1106,0.1902,19.0
305,0.5424,0.4919,0.4919,0.3966,0.4578,46.0
306,0.3762,-0.0026,-0.0026,0.3732,0.0655,7.0
307,-0.0505,0.0798,0.0798,-0.2516,0.3584,36.0
308,0.1846,-0.1891,-0.1891,0.5025,0.3111,31.0
309,-0.3889,0.2051,0.2051,0.3896,0.1401,14.0
310,0.7124,-0.0,-0.0,0.7133,0.4226,42.0
311,0.0168,-0.3219,-0.3219,-0.2031,0.2544,25.0
312,-0.3386,-0.1232,-0.1232,0.2757,0.1238,12.0
313,0.2798,0.4532,0.4532,0.2842,0.3001,30.0
314,0.7162,-0.1736,-0.1736,0.8714,0.2443,24.0
315,-0.0125,0.0894,0.0894,0.1792,0.4037,40.0
316,0.5742,-0.3154,-0.3154,0.1133,0.4767,48.0
317,0.2862,0.0576,0.0576,0.0947,0.2003,20.0
318,0.4849,0.032,0.032,0.8475,0.3694,37.0
319,-0.3177,0.0339,0.0339,-0.3323,0.0817,8.0
320,0.2768,-0.026,-0.026,-0.3073,0.2983,30.0
321,0.4774,0.4941,0.4941,0.1736,0.1255,13.0
322,0.8148,-0.2262,-0.2262,0.4206,0.4054,41.0
323,-0.0453,0.0163,0.0163,-0.1119,0.2426,24.0
324,0.362,-0.2516,-0.2516,0.6574,0.202,20.0
325,0.1941,0.1414,0.1414,0.5734,0.475,47.0
326,0.7243,0.0301,0.0301,0.5071,0.0799,8.0
327,-0.3589,-0.0209,-0.0209,-0.3637,0.3712,37.0
328,-0.4438,-0.1032,-0.1032,0.8765,0.4631,46.0
329,0.292,0.3224,0.3224,0.4521,0.1849,18.0
330,0.4436,0.023,0.023,0.4113,0.3532,35.0
331,-0.2307,0.0975,0.0975,0.0729,0.0707,7.0
332,0.391,-0.2707,-0.2707,0.16,0.1348,13.0
333,0.2657,0.2986,0.2986,-0.3361,0.3164,32.0
334,0.6566,0.0557,0.0557,0.9502,0.2597,26.0
335,0.0107,-0.1617,-0.1617,0.0225,0.4173,42.0
336,0.4281,-0.4096,-0.4096,0.1019,0.093,9.0
337,0.9237,0.0066,0.0066,0.2362,0.3872,39.0
338,0.576,-0.0355,-0.0355,0.4245,0.2172,22.0
339,-0.0499,0.1749,0.1749,-0.3732,0.4871,49.0
340,0.1638,-0.0711,-0.0711,0.3625,0.3934,39.0
341,-0.0922,0.3204,0.3204,0.3127,0.2274,23.0
342,0.7277,-0.0801,-0.0801,0.7592,0.2823,28.0
343,-0.0227,-0.0468,-0.0468,-0.4719,0.1126,11.0
344,-0.0243,-0.3774,-0.3774,0.1793,0.2718,27.0
345,-0.3716,0.071,0.071,0.7753,0.4325,43.0
346,0.5699,-0.0382,-0.0382,0.7119,0.1508,15.0
347,0.0818,0.0392,0.0392,0.145,0.3293,33.0
348,0.87,-0.3502,-0.3502,0.0379,0.3402,34.0
349,0.1745,0.1262,0.1262,0.0457,0.0547,5.0
350,0.5905,0.2931,0.2931,0.6217,0.448,45.0
351,-0.243,-0.0147,-0.0147,-0.1582,0.1728,17.0
352,-0.0098,-0.4578,-0.4578,0.7285,0.1166,12.0
353,-0.024,0.2286,0.2286,0.8251,0.2792,28.0
354,0.2817,0.0012,0.0012,0.2631,0.2233,22.0
355,-0.1735,0.0411,0.0411,-0.1514,0.3966,40.0
356,0.5092,-0.0551,-0.0551,0.1913,0.498,50.0
357,0.1309,0.4333,0.4333,0.0854,0.2072,21.0
358,0.781,0.0167,0.0167,0.798,0.3764,38.0
359,-0.2885,-0.1465,-0.1465,0.0591,0.1029,10.0
360,0.2911,-0.3283,-0.3283,-0.3164,0.1689,17.0
361,0.6042,0.183,0.183,-0.1785,0.4509,45.0
362,0.8751,-0.0033,-0.0033,0.5193,0.0585,6.0
363,0.0863,0.0365,0.0365,0.0571,0.3373,34.0
364,0.0513,-0.0621,-0.0621,0.65,0.3183,32.0
365,0.2721,0.1037,0.1037,0.313,0.161,16.0
366,0.8549,0.1769,0.1769,0.6311,0.4436,44.0
367,-0.4723,0.0858,0.0858,-0.232,0.2615,26.0
368,-0.1004,-0.2097,-0.2097,0.5518,0.3608,36.0
369,-0.1193,0.5699,0.5699,0.681,0.0912,9.0
370,0.4848,-0.1611,-0.1611,0.5645,0.4855,49.0
371,0.2216,-0.0164,-0.0164,0.0125,0.1906,19.0
372,0.4756,-0.3786,-0.3786,0.4485,0.2397,24.0
373,0.4583,0.0848,0.0848,0.0119,0.4091,41.0
374,0.4016,0.113,0.113,0.629,0.1283,13.0
375,-0.3869,-0.0551,-0.0551,-0.34,0.2947,29.0
376,0.6984,-0.2538,-0.2538,-0.3404,0.4272,43.0
377,0.6353,0.2419,0.2419,0.2129,0.249,25.0
378,0.5055,0.0626,0.0626,0.5441,0.3066,31.0
379,0.2467,0.0278,0.0278,-0.3825,0.1454,15.0
380,0.1091,-0.1897,-0.1897,0.1533,0.0741,7.0
381,-0.1383,0.0645,0.0645,0.3272,0.3489,35.0
382,0.8285,-0.044,-0.044,0.9467,0.1814,18.0
383,-0.1232,-0.0896,-0.0896,-0.2287,0.4675,47.0
384,0.0629,-0.418,-0.418,0.2095,0.1954,20.0
385,-0.4537,0.1362,0.1362,0.8073,0.4808,48.0
386,0.3658,-0.085,-0.085,0.5984,0.0883,9.0
387,0.1048,-0.0946,-0.0946,-0.0087,0.3637,36.0
388,0.8761,-0.1365,-0.1365,0.2678,0.2918,29.0
389,0.5144,0.1971,0.1971,0.1465,0.1312,13.0
390,0.5149,0.1585,0.1585,0.6419,0.4138,41.0
391,-0.4027,-0.0004,-0.0004,-0.2508,0.235,24.0
392,0.2295,-0.6102,-0.6102,0.1433,0.1431,14.0
393,0.6637,0.0862,0.0862,0.1583,0.3089,31.0
394,0.4879,-0.0021,-0.0021,0.4829,0.253,25.0
395,-0.0393,0.19,0.19,-0.2399,0.4231,42.0
396,0.0257,-0.07,-0.07,0.2746,0.4715,47.0
397,-0.0746,0.2108,0.2108,0.2604,0.1773,18.0
398,0.9617,0.0321,0.0321,0.9451,0.3466,35.0
399,-0.1133,-0.0043,-0.0043,-0.1715,0.0764,8.0
400,-0.1714,-0.1702,-0.1702,0.9515,0.4009,40.0
401,0.3938,0.4955,0.4955,0.498,0.219,22.0
402,0.3729,0.0398,0.0398,0.327,0.2766,28.0
403,-0.1418,0.0647,0.0647,0.0247,0.1191,12.0
404,0.4181,-0.1329,-0.1329,0.18,0.1003,10.0
405,0.4657,0.192,0.192,-0.3225,0.3789,38.0
406,0.7414,-0.0042,-0.0042,0.6416,0.2114,21.0
407,-0.2699,-0.2565,-0.2565,-0.1029,0.4937,49.0
408,0.3488,-0.1212,-0.1212,-0.3184,0.3345,33.0
409,0.2818,0.5446,0.5446,0.2408,0.0612,6.0
410,0.7354,-0.1323,-0.1323,0.6212,0.4555,46.0
411,0.161,0.0729,0.0729,0.0089,0.1644,16.0
412,0.0665,-0.3429,-0.3429,0.5261,0.266,27.0
413,0.2427,0.0106,0.0106,0.2748,0.4391,44.0
414,0.8713,0.0224,0.0224,0.5999,0.1582,16.0
415,-0.3513,0.1053,0.1053,-0.3034,0.321,32.0
416,0.5375,-0.3166,-0.3166,-0.122,0.4896,49.0
417,0.6892,0.3251,0.3251,0.4091,0.2146,21.0
418,0.4133,-0.1467,-0.1467,0.4025,0.3829,38.0
419,-0.111,0.0649,0.0649,-0.4676,0.0972,10.0
420,0.2601,-0.1233,-0.1233,0.3161,0.1083,11.0
421,-0.2341,0.0655,0.0655,0.5573,0.2866,29.0
422,0.7944,-0.0215,-0.0215,0.8597,0.2299,23.0
423,-0.0533,-0.1432,-0.1432,-0.2448,0.3908,39.0
424,-0.3803,-0.3089,-0.3089,0.4153,0.3248,32.0
425,-0.0749,0.4305,0.4305,0.4232,0.1553,16.0
426,0.6241,-0.1456,-0.1456,0.655,0.4352,44.0
427,0.1278,0.0014,0.0014,0.1373,0.269,27.0
428,0.6178,-0.4349,-0.4349,0.3338,0.1755,18.0
429,0.4236,0.0216,0.0216,-0.0951,0.4452,45.0
430,0.2933,0.1456,0.1456,0.8923,0.0502,5.0
431,-0.1833,0.0112,0.0112,-0.2034,0.3447,34.0
432,0.2133,-0.2141,-0.2141,-0.0126,0.2456,25.0
433,0.8295,0.3487,0.3487,0.0001,0.4024,40.0
